"ec_num","comments"
"2.1.1.129","The enzyme from the rice bean Vigna umbellata (Fabaceae) is highly specific for S-adenosyl-L-methionine. The enzyme also methylates 1L-1,2,4/3,5-cyclohexanepentol, 2,4,6/3,5-pentahydroxycyclohexanone, D,L-2,3,4,6/5-pentacyclohexanone and 2,2'-anhydro-2-C-hydroxymethyl-myo-inositol, but at lower rates than that of myo-inositol."
"2.1.1.130","This enzyme participates in the aerobic (late cobalt insertion) cobalamin biosynthesis pathway. See EC 2.1.1.151, cobalt-factor II C20-methyltransferase, for the equivalent enzyme that participates in the anaerobic cobalamin biosynthesis pathway."
"2.1.1.131","The enzyme, which participates in the aerobic (late cobalt insertion) pathway of adenosylcobalamin biosynthesis, catalyses a crucial reaction where the tetrapyrrole ring contracts as a result of methylation of C-17. See EC 2.1.1.272, cobalt-factor III methyltransferase, for the corresponding enzyme that participates in the anaerobic cobalamin biosynthesis pathway."
"2.1.1.132","The enzyme participates in the aerobic (late cobalt insertion) adenosylcobalamin biosynthesis pathway. The enzyme from the bacterium Pseudomonas denitrificans is a fusion protein with two active sites; one catalyses the methylation at C-15 followed by decarboxylation of the C-12 acetate side chain, while the other catalyses the methylation at C-5. The corresponding activities in the anaerobic adenosylcobalamin biosynthesis pathway are catalysed by EC 2.1.1.196, cobalt-precorrin-6B (C15)-methyltransferase [decarboxylating], and EC 2.1.1.289, cobalt-precorrin-7 (C5)-methyltransferase, respectively."
"2.1.1.133","In the aerobic (late cobalt insertion) cobalamin biosythesis pathway, four enzymes are involved in the conversion of precorrin-3A to precorrin-6A. The first of the four steps is carried out by EC 1.14.13.83, precorrin-3B synthase (CobG), yielding precorrin-3B as the product. This is followed by three methylation reactions, which introduce a methyl group at C-17 (CobJ; EC 2.1.1.131), C-11 (CobM; EC 2.1.1.133) and C-1 (CobF; EC 2.1.1.152) of the macrocycle, giving rise to precorrin-4, precorrin-5, and precorrin-6A, respectively. See EC 2.1.1.271, cobalt-precorrin-4 methyltransferase, for the C11-methyltransferase enzyme that participates in the anaerobic cobalamin biosynthesis pathway."
"2.1.1.136","The enzyme from the fungus Trichoderma sp. virgatum, when cultured in the presence of halogenated phenol, also acts on a range of mono-, di- and trichlorophenols."
"2.1.1.137","An enzyme responsible for synthesis of trivalent methylarsenical antibiotics in microbes [11] or detoxification of inorganic arsenous acid in animals. The in vivo substrate is arsenic triglutathione or similar thiol (depending on the organism) [6], from which the arsenic is transferred to the enzyme forming bonds with the thiol groups of three cysteine residues [10] via a disulfide bond cascade pathway [7, 8]. Most of the substrates undergo two methylations and are converted to dimethylarsinous acid [9]. However, a small fraction are released earlier as methylarsonous acid, and a smaller amount proceeds via a third methylation, resulting in the volatile product trimethylarsane. Methylation involves temporary oxidation to arsenic(V) valency, followed by reduction back to arsenic(III) valency using electrons provided by thioredoxin or a similar reduction system. The arsenic(III) products are quickly oxidized in the presence of oxygen to the corresponding arsenic(V) species."
"2.1.1.139","Catalyses the final step in the biosynthesis of staurosporine, an alkaloidal antibiotic that is a potent inhibitor of protein kinases, especially protein kinase C."
"2.1.1.140",The enzyme is specific for the (S)-isomer of coclaurine. Norcoclaurine can also act as an acceptor.
"2.1.1.141","9,10-Dihydrojasmonic acid is a poor substrate for the enzyme. The enzyme does not convert 12-oxo-phytodienoic acid (a precursor of jasmonic acid), salicylic acid, benzoic acid, linolenic acid or cinnamic acid into their corresponding methyl esters. Enzyme activity is inhibited by the presence of divalent cations, e.g., Ca2+, Cu2+, Mg2+ and Zn2+."
"2.1.1.142",S-Adenosyl-L-methionine methylates the Si face of the 24(25)-double bond with elimination of a hydrogen atom from the pro-Z methyl group at C-25.
"2.1.1.143","This is the second methylation step of plant sterol biosynthesis (cf EC 2.1.1.142, cycloartenol 24-C-methyltransferase)."
"2.1.1.144","Also catalyses the formation of the methyl monoester of cis-aconitate, isocitrate and citrate, but more slowly. While the enzyme from Escherichia coli forms (E)-3-(methoxycarbonyl)-pent-2-enedioate as the product, that from Saccharomyces cerevisiae forms (E)-2-(methoxycarbonylmethyl)butenedioate and is therefore classified as a separate enzyme (cf. EC 2.1.1.145, trans-aconitate 3-methyltransferase)."
"2.1.1.145","Also catalyses the formation of the methyl monoester of cis-aconitate, isocitrate and citrate, but more slowly. While the enzyme from Saccharomyces cerevisiae forms (E)-2-(methoxycarbonylmethyl)butenedioate as the product, that from Escherichia coli forms (E)-3-(methoxycarbonyl)-pent-2-enedioate and is therefore classified as a separate enzyme (cf. EC 2.1.1.144, trans-aconitate 2-methyltransferase)"
"2.1.1.146",Acts on eugenol and chavicol as well as isoeugenol.
"2.1.1.147","Also acts on 7,8-dihydropalmatine."
"2.1.1.148","Contains FAD. All thymidylate synthases catalyse a reductive methylation involving the transfer of the methylene group of 5,10-methylenetetrahydrofolate to the C5 position of dUMP and a two electron reduction of the methylene group to a methyl group. Unlike the classical thymidylate synthase, ThyA (EC 2.1.1.45), which uses folate as both a 1-carbon donor and a source of reducing equivalents, this enzyme uses a flavin cofactor as a source of reducing equivalents, which are derived from NADPH."
"2.1.1.149",The enzyme from Catharanthus roseus (Madagascar periwinkle) is unusual as it carries out two methylations of the same substrate. Also catalyses the methylation of dihydromyricetin.
"2.1.1.150","The enzyme from alfalfa can methylate daidzein, genistein and 6,7,4'-trihydroxyisoflavone but not flavones or flavanones."
"2.1.1.151","This enzyme participates in the anaerobic (early cobalt insertion) cobalamin biosynthesis pathway. See EC 2.1.1.130, precorrin-2 C20-methyltransferase, for the equivalent enzyme that participates in the aerobic cobalamin biosynthesis pathway."
"2.1.1.152","The enzyme, which participates in the aerobic (late cobalt insertion) cobalamin biosythesis pathway, catalyses two reactions -the methylation of carbon C1 of precorrin-5, and its deacetylation, forming precorrin-6A. See EC 2.1.1.195, cobalt-precorrin-5B (C1)-methyltransferase, for the C1-methyltransferase that participates in the anaerobic cobalamin biosynthesis pathway."
"2.1.1.153",The flavonoids vitexin and isovitexin 2''-O-arabinoside do not act as substrates for the enzyme from oats (Avena sativa).
"2.1.1.154","Not identical to EC 2.1.1.65, licodione 2'-O-methyltransferase [2]. While EC 2.1.1.154, isoliquiritigenin 2'-O-methyltransferase can use licodione as a substrate, EC 2.1.1.65 cannot use isoliquiritigenin as a substrate."
"2.1.1.155","The enzyme acts on the hydroxy group in the 4'-position of some flavones, flavanones and isoflavones. Kaempferol, apigenin and kaempferol triglucoside are substrates, as is genistein, which reacts more slowly. Compounds with an hydroxy group in the 3' and 4' positions, such as quercetin and eriodictyol, do not act as substrates. Similar to EC 2.1.1.75, apigenin 4'-O-methyltransferase and EC 2.1.1.83, 3,7-dimethylquercetin 4'-O-methyltransferase."
"2.1.1.156","Cells of the oxygen-evolving halotolerant cyanobacterium Aphanocthece halophytica synthesize betaine from glycine by a three-step methylation process. This is the first enzyme and it leads to the formation of either sarcosine or N,N-dimethylglycine, which is further methylated to yield betaine (N,N,N-trimethylglycine) by the action of EC 2.1.1.157, sarcosine/dimethylglycine N-methyltransferase. Differs from EC 2.1.1.20, glycine N-methyltransferase, as it can further methylate the product of the first reaction. Acetate, dimethylglycine and S-adenosyl-L-homocysteine can inhibit the reaction [3]."
"2.1.1.157","Cells of the oxygen-evolving halotolerant cyanobacterium Aphanocthece halophytica synthesize betaine from glycine by a three-step methylation process. The first enzyme, EC 2.1.1.156, glycine/sarcosine N-methyltransferase, leads to the formation of either sarcosine or N,N-dimethylglycine, which is further methylated to yield betaine (N,N,N-trimethylglycine) by the action of this enzyme. Both of these enzymes can catalyse the formation of N,N-dimethylglycine from sarcosine [3]. The reactions are strongly inhibited by S-adenosyl-L-homocysteine."
"2.1.2.1","A pyridoxal-phosphate protein. Also catalyses the reaction of glycine with acetaldehyde to form L-threonine, and with 4-trimethylammoniobutanal to form 3-hydroxy-N6,N6,N6-trimethyl-L-lysine."
"2.1.2.2","Two enzymes are known to catalyse the third step in de novo purine biosynthesis. This enzyme utilizes 10-formyltetrahydrofolate as the formyl donor, while the other enzyme, EC 6.3.1.21, phosphoribosylglycinamide formyltransferase 2, utilizes formate. In vertebrates this activity is catalysed by a trifunctional enzyme that also catalyses the activities of EC 6.3.4.13, phosphoribosylamine---glycine ligase and EC 6.3.3.1, phosphoribosylformylglycinamidine cyclo-ligase."
"2.1.2.5","The enzyme also catalyses formyl transfer from 5-formyltetrahydrofolate to L-glutamate. In eukaryotes, it occurs as a bifunctional enzyme that also has formimidoyltetrahydrofolate cyclodeaminase (EC 4.3.1.4) activity."
"2.1.2.7",Also acts on 2-hydroxymethylserine.
"2.1.2.10","A component, with EC 1.4.4.2 glycine dehydrogenase (decarboxylating) and EC 1.8.1.4, dihydrolipoyl dehydrogenanse, of the glycine cleavage system, formerly known as glycine synthase. The glycine cleavage system is composed of four components that only loosely associate: the P protein (EC 1.4.4.2), the T protein (EC 2.1.2.10), the L protein (EC 1.8.1.4) and the lipoyl-bearing H protein [3]."
"2.1.3.1","A biotinyl-protein, containing cobalt and zinc. The enzyme, described from the bacterium Propionibacterium shermanii, is unique among the biotin-dependent enzymes in that it catalyses carboxyl transfer between two organic molecules, utilizing two separate carboxyltransferase domains. The enzyme is a very large complex, consisting of a hexameric central core of 12S subunits surrounded by six 5S subunit dimers, each connected to the central core by twelve 1.3S biotin carrier subunits."
"2.1.3.3","The plant enzyme also catalyses the reactions of EC 2.1.3.6 putrescine carbamoyltransferase, EC 2.7.2.2 carbamate kinase and EC 3.5.3.12 agmatine deiminase, thus acting as putrescine synthase, converting agmatine [(4-aminobutyl)guanidine] and ornithine into putrescine and citrulline, respectively."
"2.1.3.6","The plant enzyme also catalyses the reactions of EC 2.1.3.3 ornithine carbamoyltransferase, EC 2.7.2.2 carbamate kinase and EC 3.5.3.12 agmatine deiminase, thus acting as putrescine synthase, converting agmatine [(4-aminobutyl)guanidine] and ornithine into putrescine and citrulline, respectively."
"2.1.3.7",Acts on a wide range of 3-hydroxymethylcephems (a subclass of the cephalosporin antibiotics). Activated by ATP.
"2.1.3.8",Not identical with EC 2.1.3.3 ornithine carbamoyltransferase.
"2.1.3.9","Differs from EC 2.1.3.3, ornithine carbamoyltransferase. This enzyme replaces EC 2.1.3.3 in the canonic arginine biosynthetic pathway of several Eubacteria and has no catalytic activity with L-ornithine as substrate."
"2.1.4.1",Canavanine can act instead of arginine.
"2.1.4.2","1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol 6-phosphate, streptamine phosphate and 2-deoxystreptamine phosphate can also act as acceptors; canavanine can act as donor."
"2.2.1.1","A thiamine-diphosphate protein. Wide specificity for both reactants, e.g. converts hydroxypyruvate and R-CHO into CO2 and R-CHOH-CO-CH2OH. The enzyme from the bacterium Alcaligenes faecalis shows high activity with D-erythrose 4-phosphate as acceptor."
"2.2.1.3",A thiamine-diphosphate protein. Not identical with EC 2.2.1.1 transketolase. Also converts hydroxypyruvate and formaldehyde into glycerone and CO2.
"2.2.1.4",A thiamine-diphosphate protein.
"2.2.1.5",The bacterial enzyme requires thiamine diphosphate. The product decarboxylates to 5-hydroxy-4-oxopentanoate. The enzyme can decarboxylate 2-oxoglutarate. Acetaldehyde can replace glyoxylate.
"2.2.1.6","This enzyme requires thiamine diphosphate. The reaction shown is in the pathway of biosynthesis of valine; the enzyme can also transfer the acetaldehyde from pyruvate to 2-oxobutanoate, forming 2-ethyl-2-hydroxy-3-oxobutanoate, also known as 2-aceto-2-hydroxybutanoate, a reaction in the biosynthesis of isoleucine."
"2.2.1.7","Requires thiamine diphosphate. The enzyme forms part of an alternative nonmevalonate pathway for terpenoid biosynthesis (for diagram, {terp/nonMVA})."
"2.2.1.8","A pyridoxal phosphate protein. Can also convert chloroacetaldehyde into4-chloro-L-threonine. Unlike EC 2.1.2.1, glycine hydroxymethyltransferase, does not use glycine as a substrate."
"2.3.1.1","Also acts with L-aspartate and, more slowly, with some other amino acids."
"2.3.1.2",Also acts with propanoyl-CoA.
"2.3.1.5","Wide specificity for aromatic amines, including serotonin; also catalyses acetyl-transfer between arylamines without CoA."
"2.3.1.6","Propanoyl-CoA can act, more slowly, in place of acetyl-CoA."
"2.3.1.7",Also acts on propanoyl-CoA and butanoyl-CoA (cf. EC 2.3.1.21 carnitine O-palmitoyltransferase and EC 2.3.1.137 carnitine O-octanoyltransferase).
"2.3.1.8",Also acts with other short-chain acyl-CoAs.
"2.3.1.9","The enzyme, found in both eukaryotes and prokaryotes, catalyses the Claisen condensation of an acetyl-CoA and an acyl-CoA (often another acetyl-CoA), leading to the formation of an acyl-CoA that is longer by two carbon atoms. The reaction starts with the acylation of a nucleophilic cysteine at the active site, usually by acetyl-CoA but potentially by a different acyl-CoA, with concomitant release of CoA. In the second step the acyl group is transferred to an acetyl-CoA molecule. cf. EC 2.3.1.16, acetyl-CoA C-acyltransferase."
"2.3.1.11","2-Sulfanylethan-1-ol (2-mercaptoethanol) can act as a substrate [1]."
"2.3.1.12","A multimer (24-mer or 60-mer, depending on the source) of this enzyme forms the core of the pyruvate dehydrogenase multienzyme complex, and binds tightly both EC 1.2.4.1, pyruvate dehydrogenase (acetyl-transferring) and EC 1.8.1.4, dihydrolipoyl dehydrogenase. The lipoyl group of this enzyme is reductively acetylated by EC 1.2.4.1, and the only observed direction catalysed by EC 2.3.1.12 is that where the acetyl group is passed to coenzyme A."
"2.3.1.13","The CoA derivatives of a number of aliphatic and aromatic acids, but not phenylacetyl-CoA or (indol-3-yl)acetyl-CoA, can act as donor. Not identical with EC 2.3.1.68 glutamine N-acyltransferase or EC 2.3.1.71 glycine N-benzoyltransferase."
"2.3.1.15",Acyl-[acyl-carrier protein] can also act as acyl donor. The enzyme acts only on derivatives of fatty acids of chain length larger than C10.
"2.3.1.16","The enzyme, found in both eukaryotes and in prokaryotes, is involved in degradation pathways such as fatty acid beta-oxidation. The enzyme acts on 3-oxoacyl-CoAs to produce acetyl-CoA and an acyl-CoA shortened by two carbon atoms. The reaction starts with the acylation of a nucleophilic cysteine at the active site by a 3-oxoacyl-CoA, with the concomitant release of acetyl-CoA. In the second step the acyl group is transferred to CoA. Most enzymes have a broad substrate range for the 3-oxoacyl-CoA. cf. EC 2.3.1.9, acetyl-CoA C-acetyltransferase."
"2.3.1.18",Acts on thiogalactosides and phenylgalactoside.
"2.3.1.20",Palmitoyl-CoA and other long-chain acyl-CoAs can act as donors.
"2.3.1.21","Broad specificity to acyl group, over the range C8 to C18; optimal activity with palmitoyl-CoA. cf. EC 2.3.1.7 carnitine O-acetyltransferase and EC 2.3.1.137 carnitine O-octanoyltransferase."
"2.3.1.22","Various 2-acylglycerols can act as acceptor; palmitoyl-CoA and other long-chain acyl-CoAs can act as donors. The sn-1 position and the sn-3 position are both acylated, at about the same rate."
"2.3.1.23",Acts preferentially with unsaturated acyl-CoA derivatives. 1-Acyl-sn-glycero-3-phosphoinositol can also act as acceptor.
"2.3.1.24",Acts on sphingosine or its 2-epimer.
"2.3.1.26","The enzyme catalyses the formation of sterol esters from a sterol and long-chain fatty acyl-coenzyme A. The enzyme from yeast, but not from mammals, prefers monounsaturated acyl-CoA. In mammals the enzyme acts mainly on cholesterol and forms cholesterol esters that are stored in cytosolic droplets, which may serve to protect cells from the toxicity of free cholesterol. In macrophages, the accumulation of cytosolic droplets of cholesterol esters results in the formation of `foam cells', a hallmark of early atherosclerotic lesions. In hepatocytes and enterocytes, cholesterol esters can be incorporated into apolipoprotein B-containing lipoproteins for secretion from the cell."
"2.3.1.29","This is a pyridoxal-phosphate-dependent enzyme that acts in concert with EC 1.1.1.103, L-threonine 3-dehydrogenase, in the degradation of threonine to form glycine [3]. This threonine degradation pathway is common to prokaryotic and eukaryotic cells and the two enzymes involved form a complex [4]. "
"2.3.1.35","Also has some hydrolytic activity on acetyl-L-ornithine, but the rate is 1% of that of transferase activity."
"2.3.1.37",A pyridoxal-phosphate protein. The enzyme in erythrocytes is genetically distinct from that in other tissues.
"2.3.1.38","This enzyme, along with EC 2.3.1.39, [acyl-carrier-protein] S-malonyltransferase, is essential for the initiation of fatty-acid biosynthesis in bacteria. The substrate acetyl-CoA protects the enzyme against inhibition by N-ethylmaleimide or iodoacetamide [4]. This is one of the activities associated with beta-ketoacyl-[acyl-carrier-protein] synthase III (EC 2.3.1.180) [5]."
"2.3.1.39","This enzyme, along with EC 2.3.1.38, [acyl-carrier-protein] S-acetyltransferase, is essential for the initiation of fatty-acid biosynthesis in bacteria. This enzyme also provides the malonyl groups for polyketide biosynthesis [7]. The product of the reaction, malonyl-ACP, is an elongation substrate in fatty-acid biosynthesis. In Mycobacterium tuberculosis, holo-ACP (the product of EC 2.7.8.7, holo-[acyl-carrier-protein] synthase) is the preferred substrate [5]. This enzyme also forms part of the multienzyme complexes EC 4.1.1.88, biotin-independent malonate decarboxylase and EC 7.2.4.4, biotin-dependent malonate decarboxylase. Malonylation of ACP is immediately followed by decarboxylation within the malonate-decarboxylase complex to yield acetyl-ACP, the catalytically active species of the decarboxylase [12]. In the enzyme from Klebsiella pneumoniae, methylmalonyl-CoA can also act as a substrate but acetyl-CoA cannot [10] whereas the enzyme from Pseudomonas putida can use both as substrates [11]. The ACP subunit found in fatty-acid biosynthesis contains a pantetheine-4'-phosphate cofactor; that from malonate decarboxylase also contains pantetheine-4'-phosphate but in the form of a 2'-(5-triphosphoribosyl)-3'-dephospho-CoA cofactor."
"2.3.1.41","This enzyme is responsible for the chain-elongation step of dissociated (type II) fatty-acid biosynthesis, i.e. the addition of two C atoms to the fatty-acid chain. Escherichia coli mutants that lack this enzyme are deficient in unsaturated fatty acids. The enzyme can use fatty acyl thioesters of ACP (C2 to C16) as substrates, as well as fatty acyl thioesters of Co-A (C4 to C16) [4]. The substrate specificity is very similar to that of EC 2.3.1.179, beta-ketoacyl-ACP synthase II, with the exception that the latter enzyme is far more active with palmitoleoyl-ACP (C16Delta9) as substrate, allowing the organism to regulate its fatty-acid composition with changes in temperature [4,5]. "
"2.3.1.42","A membrane protein. Uses CoA derivatives of palmitate, stearate and oleate, with highest activity on palmitoyl-CoA."
"2.3.1.43","Palmitoyl, oleoyl and linoleoyl residues can be transferred; a number of sterols, including cholesterol, can act as acceptors. The bacterial enzyme also catalyses the reactions of EC 3.1.1.4 phospholipase A2 and EC 3.1.1.5 lysophospholipase."
"2.3.1.44",Both free and glycosidically bound N-acetyl- and N-glycolyl- neuraminates can act as O-acetyl acceptors.
"2.3.1.45","The enzyme, found in animals, is essential for the formation of acetylated sialoglycans. The acetyl group has been shown to spontaneously move between the 9-O, 8-O, and 7-O positions of the neuraminate, with 9-O acetylation being most favoured."
"2.3.1.47","A pyridoxal-phosphate protein. The enzyme catalyses the decarboxylative condensation of L-alanine and pimeloyl-[acyl-carrier protein], a key step in the pathway for biotin biosynthesis. Pimeloyl-CoA can be used with lower efficiency [5]."
"2.3.1.48","A group of enzymes acetylating histones. Several of the enzymes can also acetylate lysines in other proteins [3,4]."
"2.3.1.49","Both this enzyme and EC 6.2.1.22, [citrate (pro-3S)-lyase] ligase, acetylate and activate EC 4.1.3.6, citrate (pro-3S)-lyase."
"2.3.1.50",A pyridoxal-phosphate protein.
"2.3.1.51",Acyl-[acyl-carrier protein] can also act as an acyl donor. The animal enzyme is specific for the transfer of unsaturated fatty acyl groups.
"2.3.1.52",Saturated acyl-CoA thioesters are the most effective acyl donors.
"2.3.1.53","Also acts, more slowly, on L-histidine and L-alanine."
"2.3.1.56",Transfers the N-acetyl group of some aromatic acethydroxamates to the O-position of some aromatic hydroxylamines.
"2.3.1.57","Acts on propane-1,3-diamine, pentane-1,5-diamine, putrescine, spermidine (forming N1- and N8-acetylspermidine), spermine, N1-acetylspermidine and N8-acetylspermidine."
"2.3.1.59","The antibiotics gentamicin A, sisomicin, tobramycin, paromomycin, neomycin B, kanamycin B and kanamycin C can also act as acceptors."
"2.3.1.60",Also acetylates sisomicin.
"2.3.1.61","A multimer (24-mer) of this enzyme forms the core of the multienzyme complex, and binds tightly both EC 1.2.4.2, oxoglutarate dehydrogenase (succinyl-transferring) and EC 1.8.1.4, dihydrolipoyl dehydrogenase. The lipoyl group of this enzyme is reductively succinylated by EC 1.2.4.2, and the only observed direction catalysed by EC 2.3.1.61 is that where this succinyl group is passed to coenzyme A."
"2.3.1.63",May be identical with EC 2.3.1.23 1-acylglycerophosphocholine O-acyltransferase.
"2.3.1.65","Also acts on CoA derivatives of other bile acids. Taurine and 2-fluoro-beta-alanine can act as substrates, but more slowly [4]. The enzyme can also conjugate fatty acids to glycine and can act as a very-long-chain acyl-CoA thioesterase [7]. Bile-acid---amino-acid conjugates serve as detergents in the gastrointestinal tract, solubilizing long chain fatty acids, mono- and diglycerides, fat-soluble vitamins and cholesterol [4]. This is the second enzyme in a two-step process leading to the conjugation of bile acids with amino acids; the first step is the conversion of bile acids into their acyl-CoA thioesters, which is catalysed by EC 6.2.1.7, cholate---CoA ligase."
"2.3.1.66","Propanoyl-CoA can act as a donor, but more slowly. L-Arginine, L-valine, L-phenylalanine and peptides containing L-leucine can act as acceptors."
"2.3.1.68","Phenylacetyl-CoA and (indol-3-yl)acetyl-CoA, but not benzoyl-CoA, can act as acyl donors. Not identical with EC 2.3.1.13 glycine N-acyltransferase or EC 2.3.1.71 glycine N-benzoyltransferase."
"2.3.1.69","(-)-Menthol, (+)-neomenthol, borneol, and also cyclohexanol and decan-1-ol can be acetylated."
"2.3.1.70",Highly specific for both donor and acceptor.
"2.3.1.71","Not identical with EC 2.3.1.13, glycine N-acyltransferase or EC 2.3.1.68, glutamine N-acyltransferase"
"2.3.1.72",The position of acylation is indeterminate because of the ease of acyl transfer between hydroxy groups.
"2.3.1.73","Cholesterol, sitosterol, campesterol and diacylglycerol can act as acceptors. Transfers a number of long-chain fatty acyl groups."
"2.3.1.74","The enzyme catalyses the first committed step in the biosynthesis of flavonoids. It can also act on dihydro-4-coumaroyl-CoA, forming phloretin."
"2.3.1.75","The enzyme transfers acyl residues from acyl-CoA to long-chain alcohols, forming wax esters. Wax esters have diverse biological functions in bacteria, insects, mammals, and terrestrial plants. The enzyme from the plant Simmondsia chinensis (jojoba) prefers acyl residues of chain-length C18 to C20 and its preferred acceptor is (11Z)-icos-11-en-1-ol. cf. EC 2.3.1.332, medium-chain-alcohol O-fatty-acyltransferase."
"2.3.1.76",Acts on palmitoyl-CoA and other long-chain fatty-acyl derivatives of CoA.
"2.3.1.77","Tripalmitoylglycerol and, more slowly, other triacylglycerols containing C6 to C22 fatty acids, can act as donors. The best acceptors are 3beta-hydroxysteroids with a planar ring system."
"2.3.1.78",Brings about the acetylation of glucosamine groups of heparan sulfate and heparin from which the sulfate has been removed. Also acts on heparin. Not identical with EC 2.3.1.3 glucosamine N-acetyltransferase or EC 2.3.1.4 glucosamine-phosphate N-acetyltransferase.
"2.3.1.79","Not identical with EC 2.3.1.18, galactoside O-acetyltransferase. The acetyl group is added exclusively to the C6 position of glucose and to the C6 position of the non-reducing glucose residue of maltose [3]. Other substrates of this enzyme are glucose, which is a better substrate than maltose [2], and mannose and frucose, which are poorer substrates than maltose [2]. Isopropyl-beta-thio-galactose, which is a good substrate for EC 2.3.1.118 is a poor substrate for this enzyme [3]."
"2.3.1.80","S-Benzyl-L-cysteine and, in decreasing order of activity, S-butyl-L-cysteine, S-propyl-L-cysteine, O-benzyl-L-serine and S-ethyl-L-cysteine, can act as acceptors."
"2.3.1.81","Different from EC 2.3.1.60 gentamicin 3-N-acetyltransferase. A wide range of antibiotics containing the 2-deoxystreptamine ring can act as acceptors, including gentamicin, kanamycin, tobramycin, neomycin and apramycin."
"2.3.1.82","The antibiotics kanamycin A, kanamycin B, neomycin, gentamicin C1a, gentamicin C2 and sisomicin are substrates. The antibiotic tobramycin, but not paromomycin, can also act as acceptor. The 6-amino group of the purpurosamine ring is acetylated."
"2.3.1.84","Acts on a range of short-chain aliphatic alcohols, including methanol and ethanol"
"2.3.1.85","The animal enzyme is a multi-functional protein catalysing the reactions of EC 2.3.1.38 [acyl-carrier-protein] S-acetyltransferase, EC 2.3.1.39 [acyl-carrier-protein] S-malonyltransferase, EC 2.3.1.41 beta-ketoacyl-[acyl-carrier-protein] synthase I, EC 1.1.1.100 3-oxoacyl-[acyl-carrier-protein] reductase, EC 4.2.1.59 3-hydroxyacyl-[acyl-carrier-protein] dehydratase, EC 1.3.1.39 enoyl-[acyl-carrier-protein] reductase (NADPH, Re-specific) and EC 3.1.2.14 oleoyl-[acyl-carrier-protein] hydrolase. cf. EC 2.3.1.86, fatty-acyl-CoA synthase system."
"2.3.1.86","The enzyme from yeasts (Ascomycota and Basidiomycota) is a multi-functional protein complex composed of two subunits. One subunit catalyses the reactions EC 1.1.1.100, 3-oxoacyl-[acyl-carrier-protein] reductase and EC 2.3.1.41, beta-ketoacyl-[acyl-carrier-protein] synthase I, while the other subunit catalyses the reactions of EC 2.3.1.38, [acyl-carrier-protein] S-acetyltransferase, EC 2.3.1.39, [acyl-carrier-protein] S-malonyltransferase, EC 4.2.1.59, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase, EC 1.3.1.10, enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific) and EC 1.1.1.279, (R)-3-hydroxyacid-ester dehydrogenase. The enzyme system differs from the animal system (EC 2.3.1.85, fatty-acid synthase system) in that the enoyl reductase domain requires FMN as a cofactor, and the ultimate product is an acyl-CoA (usually palmitoyl-CoA) instead of a free fatty acid."
"2.3.1.87","Narrow specificity towards 2-arylethylamines, including serotonin (5-hydroxytryptamine), tryptamine, 5-methoxytryptamine and phenylethylamine. This is the penultimate enzyme in the production of melatonin (5-methoxy-N-acetyltryptamine) and controls its synthesis (cf. EC 2.1.1.4, acetylserotonin O-methyltransferase). Differs from EC 2.3.1.5 arylamine N-acetyltransferase."
"2.3.1.88","Acetylates N-terminal alanine, serine, methionine and glutamate residues in a number of peptides and proteins, including beta-endorphin, corticotropins and melanotropin. cf. EC 2.3.1.108 alpha-tubulin N-acetyltransferase."
"2.3.1.90","beta-Glucogallin can act as donor and as acceptor. Digalloylglucose can also act as acceptor, with the formation of 1-O,2-O,6-O-trigalloylglucose"
"2.3.1.93","Benzoyl-CoA and, more slowly, pentanoyl-CoA, 3-methylbutanoyl-CoA and butanoyl-CoA can act as acyl donors. Involved in the synthesis of lupanine alkaloids."
"2.3.1.94","The product, 6-deoxyerythronolide B, contains a 14-membered lactone ring and is an intermediate in the biosynthesis of erythromycin antibiotics. Biosynthesis of 6-deoxyerythronolide B requires 28 active sites that are precisely arranged along three large polypeptides, denoted DEBS1, -2 and -3 [6]. The polyketide product is synthesized by the processive action of a loading didomain, six extension modules and a terminal thioesterase domain [5]. Each extension module contains a minimum of a ketosynthase (KS), an acyltransferase (AT) and an acyl-carrier protein (ACP).  The KS domain both accepts the growing polyketide chain from the previous module and catalyses the subsequent decarboxylative condensation between this substrate and an ACP-bound methylmalonyl extender unit, introduce by the AT domain. This combined effort gives rise to a new polyketide intermediate that has been extended by two carbon atoms [5]."
"2.3.1.95",Not identical with EC 2.3.1.74 naringenin-chalcone synthase or EC 2.3.1.146 pinosylvin synthase.
"2.3.1.96","Acts on mucins. Activated by 1,4-dithiothreitol."
"2.3.1.97","The enzyme catalyses the transfer of myristic acid from myristoyl-CoA to the amino group of the N-terminal glycine residue in a variety of eukaryotic proteins. It uses an ordered Bi Bi reaction in which myristoyl-CoA binds to the enzyme prior to the binding of the peptide substrate, and CoA release precedes the release of the myristoylated peptide. The enzyme from yeast is profoundly affected by amino acids further from the N-terminus, and is particularly stimulated by a serine residue at position 5."
"2.3.1.98","Galactarate can act as acceptor, more slowly. Involved with EC 2.3.1.99 quinate O-hydroxycinnamoyltransferase in the formation of caffeoylglucarate in tomato."
